Date,Cases
2020-03-08,2275
2020-03-09,2756
2020-03-10,2469
2020-03-11,4181
2020-03-12,2928
2020-03-13,9679
2020-03-14,7151
2020-03-15,7150
2020-03-16,9900
2020-03-17,9570
2020-03-18,12017
2020-03-19,16182
2020-03-20,16896
2020-03-21,18000
2020-03-22,16792
2020-03-23,21528
2020-03-24,19354
2020-03-25,25437
2020-03-26,29930
2020-03-27,29039
2020-03-28,30389
2020-03-29,24132
2020-03-30,24905
2020-03-31,28681
2020-04-01,28076
2020-04-02,26264
2020-04-03,28407
2020-04-04,4129
2020-04-05,18100
2020-04-06,18171
2020-04-07,13240
2020-04-08,23717
2020-04-09,22756
2020-04-10,21469
2020-04-11,18349
2020-04-12,66049
2020-04-13,15390
2020-04-14,27379
2020-04-15,19695
2020-04-16,30985
2020-04-17,18919
2020-04-18,14277
2020-04-19,16738
2020-04-20,11620
2020-04-21,13766
2020-04-22,14940
2020-04-23,11628
2020-04-24,1317
2020-04-25,11410
2020-04-26,8833
2020-04-27,9976
2020-04-28,9262
2020-04-29,6204
2020-04-30,7387
2020-05-01,7083
2020-05-02,6258
2020-05-03,4643
2020-05-04,4035
2020-05-05,5479
2020-05-06,9236
2020-05-07,6532
2020-05-08,6210
2020-05-09,4571
2020-05-10,3693
2020-05-11,5686
2020-05-12,4366
2020-05-13,3947
2020-05-14,4278
2020-05-15,3873
2020-05-16,3420
2020-05-17,2307
2020-05-18,2760
2020-05-19,3703
2020-05-20,3186
2020-05-21,2937
2020-05-22,4869
2020-05-23,2931
2020-05-24,1626
2020-05-25,1295
2020-05-26,2691
2020-05-27,1904
2020-05-28,7169
2020-05-29,3352
2020-05-30,3816
2020-05-31,1870
2020-06-01,1500
2020-06-02,716
2020-06-03,-1615
2020-06-04,5937
2020-06-05,2820
2020-06-06,2575
2020-06-07,1878
2020-06-08,1667
2020-06-09,2238
2020-06-10,1867
2020-06-11,2081
2020-06-12,2683
2020-06-13,1948
2020-06-14,1869
2020-06-15,1442
2020-06-16,2261
2020-06-17,2186
2020-06-18,3437
2020-06-19,2159
2020-06-20,2259
2020-06-21,1941
2020-06-22,1487
2020-06-23,2533
2020-06-24,2209
2020-06-25,2081
2020-06-26,3392
2020-06-27,2295
2020-06-28,1052
2020-06-29,1868
2020-06-30,1750
2020-07-01,2734
2020-07-02,2361
2020-07-03,2432
2020-07-04,1848
2020-07-05,1345
2020-07-06,3504
2020-07-07,1729
2020-07-08,2574
2020-07-09,2408
2020-07-10,3062
2020-07-11,1837
2020-07-12,1365
2020-07-13,4413
2020-07-14,1766
2020-07-15,3071
2020-07-16,3897
2020-07-17,4150
2020-07-18,1754
2020-07-19,1216
2020-07-20,8143
2020-07-21,3251
2020-07-22,4273
2020-07-23,5771
2020-07-24,5561
2020-07-25,2330
2020-07-26,1805
2020-07-27,10353
2020-07-28,4085
2020-07-29,6260
2020-07-30,7364
2020-07-31,7392
2020-08-01,2772
2020-08-02,1805
2020-08-03,14181
2020-08-04,8981
2020-08-05,8018
2020-08-06,9403
2020-08-07,10915
2020-08-08,3172
2020-08-09,2941
2020-08-10,16522
2020-08-11,7840
2020-08-12,10581
2020-08-13,14452
2020-08-14,13178
2020-08-15,7249
2020-08-16,5751
2020-08-17,20282
2020-08-18,11150
2020-08-19,15014
2020-08-20,16956
2020-08-21,18308
2020-08-22,7806
2020-08-23,8443
2020-08-24,25635
2020-08-25,14766
2020-08-26,12876
2020-08-27,26527
2020-08-28,21394
2020-08-29,10204
2020-08-30,9076
2020-08-31,30805
2020-09-01,17331
2020-09-02,21033
2020-09-03,21758
2020-09-04,25341
2020-09-05,14166
2020-09-06,11569
2020-09-07,36067
2020-09-08,21495
2020-09-09,24205
2020-09-10,27924
2020-09-11,29467
2020-09-12,18561
2020-09-13,12812
2020-09-14,40127
2020-09-15,24613
2020-09-16,30151
2020-09-17,31886
2020-09-18,38416
2020-09-19,22783
2020-09-20,18877
2020-09-21,45656
2020-09-22,30744
2020-09-23,34807
2020-09-24,38250
2020-09-25,40928
2020-09-26,25201
2020-09-27,21028
2020-09-28,46363
2020-09-29,19189
2020-09-30,47916
2020-10-01,37532
2020-10-02,40193
2020-10-03,32749
2020-10-04,26906
2020-10-05,44483
2020-10-06,38228
2020-10-07,50578
2020-10-08,56306
2020-10-09,61019
2020-10-10,57216
2020-10-11,41302
2020-10-12,63248
2020-10-13,51109
2020-10-14,72983
2020-10-15,86851
2020-10-16,86010
2020-10-17,76579
2020-10-18,71490
2020-10-19,92969
2020-10-20,79476
2020-10-21,105713
2020-10-22,122714
2020-10-23,136189
2020-10-24,117039
2020-10-25,76909
2020-10-26,189567
2020-10-27,124135
2020-10-28,145403
2020-10-29,168542
2020-10-30,177430
2020-10-31,126160
2020-11-01,125653
2020-11-02,238138
2020-11-03,155699
2020-11-04,135676
2020-11-05,176767
2020-11-06,182619
2020-11-07,178638
2020-11-08,118520
2020-11-09,128302
2020-11-10,111523
2020-11-11,164217
2020-11-12,153330
2020-11-13,147044
2020-11-14,119431
2020-11-15,92938
2020-11-16,116893
2020-11-17,142778
2020-11-18,136406
2020-11-19,133070
2020-11-20,132226
2020-11-21,99371
2020-11-22,71156
2020-11-23,87695
2020-11-24,84496
2020-11-25,116762
2020-11-26,107185
2020-11-27,103674
2020-11-28,80487
2020-11-29,57189
2020-11-30,71705
2020-12-01,82344
2020-12-02,96431
2020-12-03,98681
2020-12-04,89949
2020-12-05,90652
2020-12-06,64014
2020-12-07,59668
2020-12-08,82019
2020-12-09,93977
2020-12-10,105725
2020-12-11,101554
2020-12-12,90374
2020-12-13,75473
2020-12-14,63599
2020-12-15,96675
2020-12-16,119378
2020-12-17,117886
2020-12-18,114145
2020-12-19,91458
2020-12-20,64908
2020-12-21,81530
2020-12-22,105949
2020-12-23,115524
2020-12-24,118360
2020-12-25,74437
2020-12-26,46970
2020-12-27,48750
2020-12-28,68672
2020-12-29,88403
2020-12-30,135294
2020-12-31,130676
